Rank,Release Group,Worldwide,Domestic,%,Foreign,%
60,The Reader,"$108,902,486","$34,194,407",31.4%,"$74,708,079",68.6%
61,Made of Honor,"$106,407,672","$46,012,734",43.2%,"$60,394,938",56.8%
62,Forgetting Sarah Marshall,"$105,833,257","$63,172,463",59.7%,"$42,660,794",40.3%
63,Pineapple Express,"$101,624,843","$87,341,380",85.9%,"$14,283,463",14.1%
64,Nim's Island,"$100,104,565","$48,006,762",48%,"$52,097,803",52%
65,Vicky Cristina Barcelona,"$96,409,300","$23,216,709",24.1%,"$73,192,591",75.9%
66,Speed Racer,"$93,945,766","$43,945,766",46.8%,"$50,000,000",53.2%
67,Role Models,"$92,649,419","$67,294,270",72.6%,"$25,355,149",27.4%
68,Max Payne,"$87,066,930","$40,689,393",46.7%,"$46,377,537",53.3%
69,The Tale of Despereaux,"$86,957,280","$50,877,145",58.5%,"$36,080,135",41.5%
70,Meet the Spartans,"$85,897,593","$38,233,676",44.5%,"$47,663,917",55.5%
71,Nights in Rodanthe,"$84,375,346","$41,850,659",49.6%,"$42,524,687",50.4%
72,The Strangers,"$82,410,456","$52,597,610",63.8%,"$29,812,846",36.2%
73,Righteous Kill,"$78,460,699","$40,081,410",51.1%,"$38,379,289",48.9%
74,The Other Boleyn Girl,"$78,199,679","$26,814,957",34.3%,"$51,384,722",65.7%
75,Mirrors,"$78,094,714","$30,691,439",39.3%,"$47,403,275",60.7%
76,Death Race,"$76,014,335","$36,316,032",47.8%,"$39,698,303",52.2%
77,Revolutionary Road,"$75,981,180","$22,911,480",30.2%,"$53,069,700",69.8%
78,Babylon A.D.,"$72,109,200","$22,532,572",31.2%,"$49,576,628",68.8%
79,Superhero Movie,"$71,571,300","$25,881,068",36.2%,"$45,690,232",63.8%
80,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$70,642,966","$65,281,781",92.4%,"$5,361,185",7.6%
81,Departures,"$70,442,129","$1,498,210",2.1%,"$68,943,919",97.9%
82,The House Bunny,"$70,439,696","$48,237,389",68.5%,"$22,202,307",31.5%
83,The X Files: I Want to Believe,"$69,363,381","$20,982,478",30.3%,"$48,380,903",69.7%
84,Star Wars: The Clone Wars,"$68,282,844","$35,161,554",51.5%,"$33,121,290",48.5%
85,Street Kings,"$66,476,363","$26,418,667",39.7%,"$40,057,696",60.3%
86,Space Chimps,"$65,097,693","$30,105,968",46.2%,"$34,991,725",53.8%
87,The Bank Job,"$64,822,796","$30,060,660",46.4%,"$34,762,136",53.6%
88,Baby Mama,"$64,444,713","$60,494,212",93.9%,"$3,950,501",6.1%
89,Inkheart,"$62,803,180","$17,303,424",27.6%,"$45,499,756",72.4%
90,The Eye,"$58,010,320","$31,418,697",54.2%,"$26,591,623",45.8%
91,Prom Night,"$57,197,876","$43,869,350",76.7%,"$13,328,526",23.3%
92,"Definitely, Maybe","$55,990,299","$32,241,649",57.6%,"$23,748,650",42.4%
93,Milk,"$54,589,558","$31,841,299",58.3%,"$22,748,259",41.7%
94,Untraceable,"$52,933,513","$28,687,835",54.2%,"$24,245,678",45.8%
95,Doubt,"$51,699,984","$33,446,470",64.7%,"$18,253,514",35.3%
96,College Road Trip,"$51,549,674","$45,610,425",88.5%,"$5,939,249",11.5%
97,Meet Dave,"$51,339,567","$11,803,254",23%,"$39,536,313",77%
98,Defiance,"$51,262,751","$28,644,813",55.9%,"$22,617,938",44.1%
99,The Women,"$50,007,546","$26,902,075",53.8%,"$23,105,471",46.2%
100,Drillbit Taylor,"$49,944,325","$32,862,104",65.8%,"$17,082,221",34.2%
101,CJ7,"$49,529,913","$207,378",0.4%,"$49,322,535",99.6%
102,The Hurt Locker,"$49,230,772","$17,017,811",34.6%,"$32,212,961",65.4%
103,Shutter,"$48,555,306","$25,928,550",53.4%,"$22,626,756",46.6%
104,One Missed Call,"$45,847,751","$26,890,041",58.7%,"$18,957,710",41.3%
105,The Wrestler,"$44,734,660","$26,238,243",58.7%,"$18,496,417",41.3%
106,Lakeview Terrace,"$44,655,002","$39,263,506",87.9%,"$5,391,496",12.1%
107,The Sisterhood of the Traveling Pants 2,"$44,352,417","$44,089,964",99.4%,"$262,453",0.6%
108,The Good the Bad the Weird,"$44,261,209","$128,486",0.3%,"$44,132,723",99.7%
109,Semi-Pro,"$44,004,502","$33,479,698",76.1%,"$10,524,804",23.9%
110,"Welcome Home, Roscoe Jenkins","$43,655,418","$42,436,517",97.2%,"$1,218,901",2.8%
111,Harold & Kumar Escape from Guantanamo Bay,"$43,495,888","$38,108,728",87.6%,"$5,387,160",12.4%
112,The Duchess,"$43,343,384","$13,848,978",32%,"$29,494,406",68%
113,Zack and Miri Make a Porno,"$42,782,463","$31,457,946",73.5%,"$11,324,517",26.5%
114,Bangkok Dangerous,"$42,487,390","$15,298,133",36%,"$27,189,257",64%
115,Meet the Browns,"$41,975,388","$41,975,388",100%,-,-
116,Fly Me to the Moon 3D,"$41,721,414","$13,816,982",33.1%,"$27,904,432",66.9%
117,Never Back Down,"$41,627,431","$24,850,922",59.7%,"$16,776,509",40.3%
118,My Best Friend's Girl,"$41,624,687","$19,219,250",46.2%,"$22,405,437",53.8%
119,Quarantine,"$41,319,906","$31,691,811",76.7%,"$9,628,095",23.3%
120,Leatherheads,"$41,319,039","$31,373,938",75.9%,"$9,945,101",24.1%
121,The Love Guru,"$40,877,556","$32,235,793",78.9%,"$8,641,763",21.1%
122,The Boy in the Striped Pajamas,"$40,416,563","$9,046,156",22.4%,"$31,370,407",77.6%
123,The Secret Life of Bees,"$39,952,437","$37,770,162",94.5%,"$2,182,275",5.5%
124,The Spirit,"$39,164,441","$19,806,188",50.6%,"$19,358,253",49.4%
125,First Sunday,"$38,810,311","$37,931,869",97.7%,"$878,442",2.3%
126,Ghajini,"$38,316,584","$2,430,627",6.3%,"$35,885,957",93.7%
127,The Family That Preys,"$37,105,289","$37,105,289",100%,-,-
128,Gomorrah,"$34,861,529","$1,579,146",4.5%,"$33,282,383",95.5%
129,Disaster Movie,"$34,816,824","$14,190,901",40.8%,"$20,625,923",59.2%
130,In Bruges,"$34,085,749","$7,800,824",22.9%,"$26,284,925",77.1%
131,Nick and Norah's Infinite Playlist,"$33,556,631","$31,487,293",93.8%,"$2,069,338",6.2%
132,Fireproof,"$33,473,297","$33,456,317",99.9%,"$16,980",<0.1%
133,Last Chance Harvey,"$32,566,966","$14,889,042",45.7%,"$17,677,924",54.3%
134,Pride and Glory,"$31,200,557","$15,740,721",50.5%,"$15,459,836",49.5%
135,Igor,"$30,893,885","$19,528,602",63.2%,"$11,365,283",36.8%
136,Be Kind Rewind,"$30,579,406","$11,175,164",36.5%,"$19,404,242",63.5%
137,Rab Ne Bana Di Jodi,"$29,914,469","$2,078,956",6.9%,"$27,835,513",93.1%
138,W.,"$29,560,587","$25,534,493",86.4%,"$4,026,094",13.6%
139,The Class,"$29,303,505","$3,766,810",12.9%,"$25,536,695",87.1%
140,Singh Is King,"$29,169,677","$2,159,376",7.4%,"$27,010,301",92.6%
141,Appaloosa,"$27,712,362","$20,211,394",72.9%,"$7,500,968",27.1%
142,Traitor,"$27,674,464","$23,530,831",85%,"$4,143,633",15%
143,Frost/Nixon,"$27,426,335","$18,622,031",67.9%,"$8,804,304",32.1%
144,Ghost Town,"$27,090,159","$13,367,624",49.3%,"$13,722,535",50.7%
145,The Baader Meinhof Complex,"$26,937,355","$476,270",1.8%,"$26,461,085",98.2%
146,Jodhaa Akbar,"$26,890,354","$3,440,718",12.8%,"$23,449,636",87.2%
147,Mad Money,"$26,412,163","$20,668,843",78.3%,"$5,743,320",21.7%
148,RocknRolla,"$25,740,863","$5,700,626",22.1%,"$20,040,237",77.9%
149,Race,"$24,503,269","$1,367,024",5.6%,"$23,136,245",94.4%
150,Paris,"$23,328,518","$1,010,194",4.3%,"$22,318,324",95.7%
151,Under the Same Moon,"$23,313,049","$12,590,147",54%,"$10,722,902",46%
152,The Ruins,"$22,818,256","$17,432,844",76.4%,"$5,385,412",23.6%
153,U2 3D,"$22,730,842","$10,363,341",45.6%,"$12,367,501",54.4%
154,The Accidental Husband,"$22,707,064",-,-,"$22,707,064",100%
155,Doomsday,"$22,472,631","$11,008,770",49%,"$11,463,861",51%
156,I've Loved You So Long,"$22,272,176","$3,169,305",14.2%,"$19,102,871",85.8%
157,Over Her Dead Body,"$21,458,111","$7,563,670",35.2%,"$13,894,441",64.8%
158,Jaane Tu... Ya Jaane Na,"$19,852,786","$604,037",3%,"$19,248,749",97%
159,Blindness,"$19,844,979","$3,351,751",16.9%,"$16,493,228",83.1%
160,How to Lose Friends & Alienate People,"$19,152,009","$2,778,752",14.5%,"$16,373,257",85.5%
161,Sex Drive,"$18,755,936","$8,402,485",44.8%,"$10,353,451",55.2%
162,Happy-Go-Lucky,"$18,696,602","$3,512,016",18.8%,"$15,184,586",81.2%
163,Easy Virtue,"$18,463,793","$2,656,784",14.4%,"$15,807,009",85.6%
164,Kabei: Our Mother,"$18,385,964","$14,416",<0.1%,"$18,371,548",99.9%
165,The Visitor,"$18,197,518","$9,427,089",51.8%,"$8,770,429",48.2%
166,City of Ember,"$17,929,684","$7,873,007",43.9%,"$10,056,677",56.1%
167,Friendship,"$17,779,520","$1,243,910",7%,"$16,535,610",93%
168,Deception,"$17,772,506","$4,598,506",25.9%,"$13,174,000",74.1%
169,Reign of Government,"$17,722,998","$1,009,065",5.7%,"$16,713,933",94.3%
170,Kit Kittredge: An American Girl,"$17,657,973","$17,657,973",100%,-,-
171,The Oxford Murders,"$17,646,627","$4,803",<0.1%,"$17,641,824",100%
172,Swing Vote,"$17,634,313","$16,289,867",92.4%,"$1,344,446",7.6%
173,Rachel Getting Married,"$16,937,968","$12,796,841",75.6%,"$4,141,127",24.4%
174,Miss Pettigrew Lives for a Day,"$16,724,933","$12,313,694",73.6%,"$4,411,239",26.4%
175,Two Lovers,"$16,303,643","$3,149,034",19.3%,"$13,154,609",80.7%
176,Shine a Light,"$15,773,351","$5,505,267",34.9%,"$10,268,084",65.1%
177,The Haunting of Molly Hartley,"$15,418,749","$13,559,812",87.9%,"$1,858,937",12.1%
178,Elegy,"$14,894,347","$3,581,642",24%,"$11,312,705",76%
179,Religulous,"$13,639,115","$13,011,160",95.4%,"$627,955",4.6%
180,Brideshead Revisited,"$13,451,186","$6,432,256",47.8%,"$7,018,930",52.2%
181,The Pirates Who Don't Do Anything: A VeggieTales Movie,"$13,247,725","$12,981,269",98%,"$266,456",2%
182,Bhootnath,"$13,236,817","$476,032",3.6%,"$12,760,785",96.4%
183,Paris 36,"$12,940,622","$851,540",6.6%,"$12,089,082",93.4%
184,Cherry Blossoms,"$12,861,658","$104,589",0.8%,"$12,757,069",99.2%
185,Soul Men,"$12,331,637","$12,082,391",98%,"$249,246",2%
186,Smart People,"$11,843,604","$9,511,289",80.3%,"$2,332,315",19.7%
187,The Longshots,"$11,767,866","$11,537,046",98%,"$230,820",2%
188,Watch Out Ladies,"$11,386,430","$702,166",6.2%,"$10,684,264",93.8%
189,Quiet Chaos,"$11,326,121","$11,434",0.1%,"$11,314,687",99.9%
190,Tashan,"$11,283,337","$457,380",4.1%,"$10,825,957",95.9%
191,Il Divo,"$11,260,366","$240,159",2.1%,"$11,020,207",97.9%
192,Let the Right One In,"$11,227,336","$2,122,065",18.9%,"$9,105,271",81.1%
193,Stop-Loss,"$11,212,953","$10,915,744",97.3%,"$297,209",2.7%
194,Waltz with Bashir,"$11,179,372","$2,283,849",20.4%,"$8,895,523",79.6%
195,Rudo y Cursi,"$11,169,232","$1,827,660",16.4%,"$9,341,572",83.6%
196,Kismat Konnection,"$11,019,454","$490,154",4.4%,"$10,529,300",95.6%
197,U Me Aur Hum,"$10,948,019","$1,028,191",9.4%,"$9,919,828",90.6%
198,Son of Rambow,"$10,871,449","$1,785,505",16.4%,"$9,085,944",83.6%
199,Flame & Citron,"$10,186,084","$148,089",1.5%,"$10,037,995",98.5%
200,Punisher: War Zone,"$10,161,493","$8,050,977",79.2%,"$2,110,516",20.8%
201,Let's Talk About the Rain,"$10,134,366","$111,844",1.1%,"$10,022,522",98.9%
202,The Express,"$9,808,124","$9,793,406",99.8%,"$14,718",0.2%
203,Mid-August Lunch,"$9,520,933","$675,299",7.1%,"$8,845,634",92.9%
204,Miracle at St. Anna,"$9,333,654","$7,919,117",84.8%,"$1,414,537",15.2%
205,Seraphine,"$9,329,376","$884,613",9.5%,"$8,444,763",90.5%
206,Ong Bak 2,"$8,936,663","$102,458",1.1%,"$8,834,205",98.9%
207,Cadillac Records,"$8,883,644","$8,195,551",92.3%,"$688,093",7.7%
208,The Rocker,"$8,808,935","$6,409,528",72.8%,"$2,399,407",27.2%
209,Dolphins and Whales 3D: Tribes of the Ocean,"$8,808,659","$7,714,996",87.6%,"$1,093,663",12.4%
210,Big Stan,"$8,742,330",-,-,"$8,742,330",100%
211,How She Move,"$8,659,212","$7,070,641",81.7%,"$1,588,571",18.3%
212,Fashion,"$8,658,713","$191,442",2.2%,"$8,467,271",97.8%
213,Then She Found Me,"$8,443,998","$3,735,717",44.2%,"$4,708,281",55.8%
214,Death Defying Acts,"$8,394,639","$5,665",<0.1%,"$8,388,974",99.9%
215,My Mom's New Boyfriend,"$7,963,718",-,-,"$7,963,718",100%
216,Funny Games,"$7,938,872","$1,294,919",16.3%,"$6,643,953",83.7%
217,Summer Hours,"$7,835,857","$1,657,001",21.1%,"$6,178,856",78.9%
218,The Children of Huang Shi,"$7,785,317","$1,031,872",13.3%,"$6,753,445",86.7%
219,Expelled: No Intelligence Allowed,"$7,720,487","$7,720,487",100%,-,-
220,Thoda Pyaar Thoda Magic,"$7,631,012","$365,401",4.8%,"$7,265,611",95.2%
221,Kidnap,"$7,601,003",-,-,"$7,601,003",100%
222,The Girl from Monaco,"$7,553,160","$602,992",8%,"$6,950,168",92%
223,Nothing Like the Holidays,"$7,519,490","$7,503,736",99.8%,"$15,754",0.2%
224,Mere Baap Pehle Aap,"$7,433,423","$113,576",1.5%,"$7,319,847",98.5%
225,Lemon Tree,"$7,387,488","$569,672",7.7%,"$6,817,816",92.3%
226,A Christmas Tale,"$7,356,393","$1,060,922",14.4%,"$6,295,471",85.6%
227,Krazzy 4,"$7,274,081","$487,215",6.7%,"$6,786,866",93.3%
228,The Life Before Her Eyes,"$7,248,490","$303,439",4.2%,"$6,945,051",95.8%
229,Young@Heart,"$7,097,002","$3,992,189",56.3%,"$3,104,813",43.7%
230,Outlander,"$7,034,698","$166,003",2.4%,"$6,868,695",97.6%
231,An American Carol,"$7,013,191","$7,013,191",100%,-,-
232,Strange Wilderness,"$6,964,734","$6,575,282",94.4%,"$389,452",5.6%
233,North Face,"$6,815,056","$711,421",10.4%,"$6,103,635",89.6%
234,What Just Happened,"$6,710,888","$1,090,947",16.3%,"$5,619,941",83.7%
235,College,"$6,265,483","$4,694,636",74.9%,"$1,570,847",25.1%
236,One Two Three,"$6,090,432","$274,589",4.5%,"$5,815,843",95.5%
237,Transsiberian,"$5,926,410","$2,206,405",37.2%,"$3,720,005",62.8%
238,Passengers,"$5,787,152","$292,437",5.1%,"$5,494,715",94.9%
239,The Burning Plain,"$5,642,478","$200,730",3.6%,"$5,441,748",96.4%
240,The Legend of Drona,"$5,476,404","$475,104",8.7%,"$5,001,300",91.3%
241,Frozen River,"$5,457,664","$2,511,476",46%,"$2,946,188",54%
242,Virgin Territory,"$5,410,749",-,-,"$5,410,749",100%
243,Diary of the Dead,"$5,364,858","$958,961",17.9%,"$4,405,897",82.1%
244,Man on Wire,"$5,258,569","$2,962,242",56.3%,"$2,296,327",43.7%
245,Charlie Bartlett,"$5,254,986","$3,951,699",75.2%,"$1,303,287",24.8%
246,Prince,"$5,167,952","$570,090",11%,"$4,597,862",89%
247,Lorna's Silence,"$5,123,676","$338,795",6.6%,"$4,784,881",93.4%
248,Hamlet 2,"$4,925,288","$4,886,216",99.2%,"$39,072",0.8%
249,Cloud 9,"$4,864,463","$91,675",1.9%,"$4,772,788",98.1%
250,God You Are Great,"$4,807,638","$163,756",3.4%,"$4,643,882",96.6%
251,Flash of Genius,"$4,802,953","$4,442,377",92.5%,"$360,576",7.5%
252,Bottle Shock,"$4,628,553","$4,078,607",88.1%,"$549,946",11.9%
253,"Synecdoche, New York","$4,471,324","$3,083,538",69%,"$1,387,786",31%
254,Heroes,"$4,229,775","$655,538",15.5%,"$3,574,237",84.5%
255,Witless Protection,"$4,161,625","$4,161,625",100%,-,-
256,Eden Lake,"$3,983,997","$7,321",0.2%,"$3,976,676",99.8%
257,Choke,"$3,982,459","$2,926,565",73.5%,"$1,055,894",26.5%
258,The Fall,"$3,669,465","$2,266,905",61.8%,"$1,402,560",38.2%
259,The Midnight Meat Train,"$3,534,313","$83,361",2.4%,"$3,450,952",97.6%
260,Still Walking,"$3,511,120","$167,047",4.8%,"$3,344,073",95.2%
261,Everlasting Moments,"$3,334,754","$610,825",18.3%,"$2,723,929",81.7%
262,"Patrik, Age 1.5","$3,259,068","$57,468",1.8%,"$3,201,600",98.2%
263,Pathology,"$3,234,706","$109,846",3.4%,"$3,124,860",96.6%
264,Chocolate,"$3,179,014","$14,845",0.5%,"$3,164,169",99.5%
265,The Wackness,"$3,175,469","$2,077,116",65.4%,"$1,098,353",34.6%
266,Killshot,"$2,961,647","$18,643",0.6%,"$2,943,004",99.4%
267,Married Life,"$2,888,315","$1,507,990",52.2%,"$1,380,325",47.8%
268,"Moscow, Belgium","$2,842,635",-,-,"$2,842,635",100%
269,Terribly Happy,"$2,828,984","$170,943",6%,"$2,658,041",94%
270,Every Little Step,"$2,769,763","$1,725,141",62.3%,"$1,044,622",37.7%
