Rank,Release Group,Worldwide,Domestic,%,Foreign,%
341,Trouble the Water,"$522,766","$520,151",99.5%,"$2,615",0.5%
342,Splinter,"$510,358","$14,154",2.8%,"$496,204",97.2%
343,The 2007 Academy Award Nominated Short Films: Live Action,"$508,695","$508,695",100%,-,-
344,The Other End of the Line,"$507,534","$115,592",22.8%,"$391,942",77.2%
345,The Stone Angel,"$473,993","$459,166",96.9%,"$14,827",3.1%
346,The Broken Line,"$466,309","$466,309",100%,-,-
347,The Promotion,"$457,690","$408,709",89.3%,"$48,981",10.7%
348,Fear(s) of the Dark,"$450,813","$77,876",17.3%,"$372,937",82.7%
349,The Hammer,"$443,591","$443,591",100%,-,-
350,Santa vs. the Snowman 3D 2008 Re-release,"$438,385","$433,797",99%,"$4,588",1%
351,Snow Angels,"$414,404","$402,858",97.2%,"$11,546",2.8%
352,Mister Lonely,"$407,674","$167,396",41.1%,"$240,278",58.9%
353,The Signal,"$401,462","$251,150",62.6%,"$150,312",37.4%
354,While She Was Out,"$391,410",-,-,"$391,410",100%
355,Hell Ride,"$390,128","$213,608",54.8%,"$176,520",45.2%
356,The Escapist,"$388,174","$13,439",3.5%,"$374,735",96.5%
357,Everything Is Fine,"$373,360","$336,569",90.1%,"$36,791",9.9%
358,Filth and Wisdom,"$354,628","$22,406",6.3%,"$332,222",93.7%
359,Billy: The Early Years,"$347,328","$347,328",100%,-,-
360,Meet Bill,"$346,592","$62,597",18.1%,"$283,995",81.9%
361,Standard Operating Procedure,"$324,217","$229,117",70.7%,"$95,100",29.3%
362,Bigger Stronger Faster*,"$308,575","$308,575",100%,-,-
363,The Headless Woman,"$305,766","$100,177",32.8%,"$205,589",67.2%
364,Planet B-Boy,"$300,447","$273,870",91.2%,"$26,577",8.8%
365,Taxi to the Dark Side,"$294,309","$274,661",93.3%,"$19,648",6.7%
366,Surfwise,"$294,236","$269,994",91.8%,"$24,242",8.2%
367,Chaos Theory,"$289,458","$240,476",83.1%,"$48,982",16.9%
368,The Lucky Ones,"$287,567","$266,967",92.8%,"$20,600",7.2%
369,My Winnipeg,"$285,469","$159,363",55.8%,"$126,106",44.2%
370,Lola Montès,"$280,314","$120,306",42.9%,"$160,008",57.1%
371,Wonderful Town,"$277,233","$4,487",1.6%,"$272,746",98.4%
372,Morning Light,"$275,776","$275,497",99.9%,$279,0.1%
373,Harvard Beats Yale 29-29,"$268,431","$268,431",100%,-,-
374,Shoot on Sight,"$264,617",-,-,"$264,617",100%
375,The Secrets,"$264,006","$122,094",46.2%,"$141,912",53.8%
376,Beaufort,"$255,780","$102,591",40.1%,"$153,189",59.9%
377,The 13th Alley,"$250,992","$250,992",100%,-,-
378,Enlighten Up!,"$246,649","$246,649",100%,-,-
379,The Foot Fist Way,"$245,292","$234,286",95.5%,"$11,006",4.5%
380,The Legend of God's Gun,"$243,768","$243,768",100%,-,-
381,CSNY/Déjà Vu,"$232,260","$65,025",28%,"$167,235",72%
382,Miss Conception,"$228,928","$2,134",0.9%,"$226,794",99.1%
383,Sixty Six 2008 Re-release,"$224,614","$224,614",100%,-,-
384,Chop Shop,"$222,776","$125,045",56.1%,"$97,731",43.9%
385,The Song of Sparrows,"$220,360","$116,372",52.8%,"$103,988",47.2%
386,Chris & Don. A Love Story,"$216,110","$216,110",100%,-,-
387,How the Garcia Girls Spent Their Summer,"$215,303","$215,303",100%,-,-
388,Call + Response,"$215,185","$215,185",100%,-,-
389,Stranded: I've Come from a Plane That Crashed on the Mountains,"$210,754","$89,473",42.5%,"$121,281",57.5%
390,Sleepwalking,"$208,995","$170,392",81.5%,"$38,603",18.5%
391,La traviata,"$195,494","$195,494",100%,-,-
392,One Day You'll Understand,"$195,366","$145,642",74.5%,"$49,724",25.5%
393,The Princess of Nebraska,"$191,887",-,-,"$191,887",100%
394,Repo! The Genetic Opera,"$188,126","$146,750",78%,"$41,376",22%
395,Bustin' Down the Door,"$187,827","$109,427",58.3%,"$78,400",41.7%
396,Chapter 27,"$187,488","$56,215",30%,"$131,273",70%
397,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","$180,957","$21,152",11.7%,"$159,805",88.3%
398,Constantine's Sword,"$179,507","$179,507",100%,-,-
399,Chicago 10,"$177,490","$177,490",100%,-,-
400,My Name Is Bruce,"$173,066","$173,066",100%,-,-
401,Owl and the Sparrow,"$170,324","$47,071",27.6%,"$123,253",72.4%
402,Amusement,"$170,255",-,-,"$170,255",100%
403,Girls Rock!,"$159,294","$159,294",100%,-,-
404,Service,"$155,156","$64,536",41.6%,"$90,620",58.4%
405,Contempt 2008 Re-release,"$153,619","$153,619",100%,-,-
406,Stuck,"$151,449","$67,505",44.6%,"$83,944",55.4%
407,Sky Kids,"$144,680","$144,680",100%,-,-
