Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,When a Stranger Calls,"$67,062,123","$47,860,214",71.4%,"$19,201,909",28.6%
87,Take the Lead,"$66,499,627","$34,742,066",52.2%,"$31,757,561",47.8%
88,Flags of Our Fathers,"$65,900,249","$33,602,376",51%,"$32,297,873",49%
89,16 Blocks,"$65,664,721","$36,895,141",56.2%,"$28,769,580",43.8%
90,The Benchwarmers,"$64,962,629","$59,843,754",92.1%,"$5,118,875",7.9%
91,Madea's Family Reunion,"$63,368,939","$63,318,000",99.9%,"$50,939",<0.1%
92,Snakes on a Plane,"$62,022,014","$34,020,814",54.9%,"$28,001,200",45.1%
93,My Super Ex-Girlfriend,"$61,108,981","$22,530,295",36.9%,"$38,578,686",63.1%
94,Marie Antoinette,"$60,917,189","$15,962,471",26.2%,"$44,954,718",73.8%
95,Invincible,"$58,480,828","$57,806,952",98.8%,"$673,876",1.2%
96,She's the Man,"$57,194,667","$33,741,133",59%,"$23,453,534",41%
97,Lucky Number Slevin,"$56,308,881","$22,495,466",40%,"$33,813,415",60%
98,The Ant Bully,"$55,181,129","$28,142,535",51%,"$27,038,594",49%
99,Stranger Than Fiction,"$53,653,224","$40,660,952",75.8%,"$12,992,272",24.2%
100,The Texas Chainsaw Massacre: The Beginning,"$51,764,406","$39,517,763",76.3%,"$12,246,643",23.7%
101,Notes on a Scandal,"$49,814,392","$17,510,118",35.2%,"$32,304,274",64.8%
102,An Inconvenient Truth,"$49,782,012","$24,146,161",48.5%,"$25,635,851",51.5%
103,The Black Dahlia,"$49,332,692","$22,545,080",45.7%,"$26,787,612",54.3%
104,The Last King of Scotland,"$48,618,191","$17,606,684",36.2%,"$31,011,507",63.8%
105,Deck the Halls,"$47,232,776","$35,093,569",74.3%,"$12,139,207",25.7%
106,The Nativity Story,"$46,432,264","$37,629,831",81%,"$8,802,433",19%
107,We Are Marshall,"$43,545,364","$43,545,364",100%,-,-
108,Last Holiday,"$43,446,924","$38,399,961",88.4%,"$5,046,963",11.6%
109,Glory Road,"$42,938,449","$42,647,449",99.3%,"$291,000",0.7%
110,Crank,"$42,931,041","$27,838,408",64.8%,"$15,092,633",35.2%
111,Man of the Year,"$42,472,472","$37,327,390",87.9%,"$5,145,082",12.1%
112,A Good Year,"$42,269,923","$7,459,300",17.6%,"$34,810,623",82.4%
113,Gridiron Gang,"$41,480,851","$38,432,823",92.7%,"$3,048,028",7.3%
114,Thank You for Smoking,"$39,323,027","$24,793,509",63.1%,"$14,529,518",36.9%
115,Scoop,"$39,220,946","$10,525,717",26.8%,"$28,695,229",73.2%
116,The Wicker Man,"$38,805,380","$23,649,127",60.9%,"$15,156,253",39.1%
117,Basic Instinct 2,"$38,629,478","$5,971,336",15.5%,"$32,658,142",84.5%
118,Accepted,"$38,623,262","$36,323,505",94%,"$2,299,757",6%
119,Employee of the Month,"$38,395,414","$28,444,855",74.1%,"$9,950,559",25.9%
120,Just My Luck,"$38,159,905","$17,326,650",45.4%,"$20,833,255",54.6%
121,The Covenant,"$37,598,767","$23,380,495",62.2%,"$14,218,272",37.8%
122,Miss Potter,"$35,078,241","$3,005,605",8.6%,"$32,072,636",91.4%
123,Love and Honour,"$33,755,574","$60,910",0.2%,"$33,694,664",99.8%
124,Tell No One,"$33,406,992","$6,177,192",18.5%,"$27,229,800",81.5%
125,Dhoom 2,"$32,396,427","$2,643,586",8.2%,"$29,752,841",91.8%
126,Stick It,"$31,976,848","$26,910,736",84.2%,"$5,066,112",15.8%
127,Ultraviolet,"$31,070,211","$18,535,812",59.7%,"$12,534,399",40.3%
128,Pulse,"$29,907,685","$20,264,436",67.8%,"$9,643,249",32.2%
129,An American Haunting,"$29,612,137","$16,298,046",55%,"$13,314,091",45%
130,The Valet,"$29,414,553","$1,926,800",6.6%,"$27,487,753",93.4%
131,Tristan & Isolde,"$28,047,963","$14,734,633",52.5%,"$13,313,330",47.5%
132,Priceless,"$27,949,650","$2,165,188",7.7%,"$25,784,462",92.3%
133,Stay Alive,"$27,298,695","$23,086,480",84.6%,"$4,212,215",15.4%
134,Clerks II,"$26,984,975","$24,148,068",89.5%,"$2,836,907",10.5%
135,The Painted Veil,"$26,910,847","$8,060,487",30%,"$18,850,360",70%
136,Black Book,"$26,768,563","$4,398,532",16.4%,"$22,370,031",83.6%
137,A Prairie Home Companion,"$25,978,867","$20,342,852",78.3%,"$5,636,015",21.7%
138,Kabhi Alvida Naa Kehna,"$25,229,168","$3,275,444",13%,"$21,953,724",87%
139,School for Scoundrels,"$23,947,685","$17,807,569",74.4%,"$6,140,116",25.6%
140,Alex Rider: Operation Stormbreaker,"$23,937,870","$677,646",2.8%,"$23,260,224",97.2%
141,Valley of the Wolves: Iraq,"$23,465,471",-,-,"$23,465,471",100%
142,"OSS 117: Cairo, Nest of Spies","$23,041,621","$303,543",1.3%,"$22,738,078",98.7%
143,Aquamarine,"$22,989,957","$18,597,342",80.9%,"$4,392,615",19.1%
144,Days of Glory,"$22,963,701","$320,700",1.4%,"$22,643,001",98.6%
145,The Wind that Shakes the Barley,"$22,899,908","$1,836,089",8%,"$21,063,819",92%
146,Fanaa,"$22,175,908","$2,105,352",9.5%,"$20,070,556",90.5%
147,The Marine,"$22,165,608","$18,844,784",85%,"$3,320,824",15%
148,Unaccompanied Minors,"$21,949,234","$16,655,224",75.9%,"$5,294,010",24.1%
149,Flicka,"$21,893,591","$21,000,147",95.9%,"$893,444",4.1%
150,Black Christmas,"$21,510,851","$16,273,581",75.7%,"$5,237,270",24.3%
151,Waist Deep,"$21,353,303","$21,344,312",100%,"$8,991",<0.1%
152,ATL,"$21,170,563","$21,170,563",100%,-,-
153,Bobby,"$20,704,591","$11,242,801",54.3%,"$9,461,790",45.7%
154,Beerfest,"$20,387,597","$19,185,184",94.1%,"$1,202,413",5.9%
155,Don,"$19,640,129","$2,223,961",11.3%,"$17,416,168",88.7%
156,Akeelah and the Bee,"$18,948,425","$18,848,430",99.5%,"$99,995",0.5%
157,See No Evil,"$18,564,467","$15,032,800",81%,"$3,531,667",19%
158,Bandidas,"$18,381,890",-,-,"$18,381,890",100%
159,Friends with Money,"$18,245,244","$13,368,437",73.3%,"$4,876,807",26.7%
160,Krrish,"$18,041,250","$1,430,721",7.9%,"$16,610,529",92.1%
161,Lage Raho Munna Bhai,"$17,897,527","$2,217,562",12.4%,"$15,679,965",87.6%
162,Flyboys,"$17,834,865","$13,090,630",73.4%,"$4,744,235",26.6%
163,Memories of Tomorrow,"$17,696,020","$140,200",0.8%,"$17,555,820",99.2%
164,Avenue Montaigne,"$17,574,836","$2,044,858",11.6%,"$15,529,978",88.4%
165,Annapolis,"$17,496,992","$17,127,992",97.9%,"$369,000",2.1%
166,"Paris, je t'aime","$17,471,727","$4,899,278",28%,"$12,572,449",72%
167,Material Girls,"$16,907,725","$11,449,638",67.7%,"$5,458,087",32.3%
168,Hollywoodland,"$16,800,438","$14,426,251",85.9%,"$2,374,187",14.1%
169,American Dreamz,"$16,656,103","$7,191,830",43.2%,"$9,464,273",56.8%
170,Everyone's Hero,"$16,627,188","$14,523,101",87.3%,"$2,104,087",12.7%
171,The Fountain,"$16,468,343","$10,144,010",61.6%,"$6,324,333",38.4%
172,Omkara,"$16,466,144","$1,244,576",7.6%,"$15,221,568",92.4%
173,The Last Kiss,"$15,852,401","$11,614,790",73.3%,"$4,237,611",26.7%
174,Larry the Cable Guy: Health Inspector,"$15,680,099","$15,680,099",100%,-,-
175,The Science of Sleep,"$15,116,179","$4,670,644",30.9%,"$10,445,535",69.1%
176,Little Children,"$14,821,658","$5,463,019",36.9%,"$9,358,639",63.1%
177,Bhagam Bhag,"$14,730,896","$789,963",5.4%,"$13,940,933",94.6%
178,Turistas,"$14,697,742","$7,027,762",47.8%,"$7,669,980",52.2%
179,My Best Friend,"$14,687,738","$1,426,784",9.7%,"$13,260,954",90.3%
180,Freedomland,"$14,655,628","$12,512,886",85.4%,"$2,142,742",14.6%
181,Tenacious D in the Pick of Destiny,"$13,924,254","$8,334,575",59.9%,"$5,589,679",40.1%
182,One Night with the King,"$13,728,450","$13,395,961",97.6%,"$332,489",2.4%
183,The History Boys,"$13,407,101","$2,706,659",20.2%,"$10,700,442",79.8%
184,How to Eat Fried Worms,"$13,098,996","$13,040,527",99.6%,"$58,469",0.4%
185,Slither,"$12,834,936","$7,802,450",60.8%,"$5,032,486",39.2%
186,Bon Cop Bad Cop,"$12,735,126","$12,665,721",99.5%,"$69,405",0.5%
187,Idlewild,"$12,643,027","$12,571,185",99.4%,"$71,842",0.6%
188,Zoom,"$12,506,362","$11,989,328",95.9%,"$517,034",4.1%
189,End of the Spear,"$12,128,105","$11,967,000",98.7%,"$161,105",1.3%
190,Dave Chappelle's Block Party,"$12,051,924","$11,718,595",97.2%,"$333,329",2.8%
191,The Return,"$11,992,014","$7,749,851",64.6%,"$4,242,163",35.4%
192,The Hoax,"$11,772,461","$7,164,995",60.9%,"$4,607,466",39.1%
193,After the Wedding,"$11,632,723","$1,534,584",13.2%,"$10,098,139",86.8%
194,Something New,"$11,483,669","$11,468,568",99.9%,"$15,101",0.1%
195,The Nightmare Before Christmas 2006 3D Release,"$11,111,265","$8,700,869",78.3%,"$2,410,396",21.7%
196,Roving Mars,"$10,978,976","$10,407,978",94.8%,"$570,998",5.2%
197,The Night Listener,"$10,639,686","$7,836,393",73.7%,"$2,803,293",26.3%
198,Facing the Giants,"$10,243,159","$10,178,331",99.4%,"$64,828",0.6%
199,All the King's Men,"$9,451,623","$7,221,458",76.4%,"$2,230,165",23.6%
200,Goya's Ghosts,"$9,448,082","$1,000,626",10.6%,"$8,447,456",89.4%
201,Running Scared,"$9,380,029","$6,855,137",73.1%,"$2,524,892",26.9%
202,The Page Turner,"$9,284,027","$209,659",2.3%,"$9,074,368",97.7%
203,Comedy of Power,"$8,987,781","$80,550",0.9%,"$8,907,231",99.1%
204,Breaking and Entering,"$8,974,829","$930,469",10.4%,"$8,044,360",89.6%
205,Rang De Basanti,"$8,846,694","$2,197,694",24.8%,"$6,649,000",75.2%
206,Hoot,"$8,224,998","$8,117,637",98.7%,"$107,361",1.3%
207,Water 2006 Re-release,"$8,172,058","$3,278,815",40.1%,"$4,893,243",59.9%
208,Summer in Berlin,"$7,718,317","$8,340",0.1%,"$7,709,977",99.9%
209,A Scanner Darkly,"$7,659,918","$5,501,616",71.8%,"$2,158,302",28.2%
210,DOA: Dead or Alive,"$7,516,532","$480,813",6.4%,"$7,035,719",93.6%
211,Running with Scissors,"$7,460,797","$7,022,827",94.1%,"$437,970",5.9%
212,Phat Girlz,"$7,403,491","$7,061,128",95.4%,"$342,363",4.6%
213,It's a Boy Girl Thing,"$7,385,679",$848,<0.1%,"$7,384,831",100%
214,Trust the Man,"$7,353,118","$1,530,535",20.8%,"$5,822,583",79.2%
215,I Served the King of England,"$7,319,210","$617,403",8.4%,"$6,701,807",91.6%
216,Venus,"$7,261,490","$3,347,411",46.1%,"$3,914,079",53.9%
217,Golden Door,"$7,226,020","$1,070,769",14.8%,"$6,155,251",85.2%
218,Hard Candy,"$7,022,209","$1,024,640",14.6%,"$5,997,569",85.4%
219,Crossover,"$7,009,668","$7,009,668",100%,-,-
220,The Unknown Woman,"$6,868,786","$152,114",2.2%,"$6,716,672",97.8%
221,Private Fears In Public Places (Coeurs),"$6,855,294","$134,636",2%,"$6,720,658",98%
222,Kenny,"$6,732,051","$69,220",1%,"$6,662,831",99%
223,Grandma's Boy,"$6,566,277","$6,090,172",92.7%,"$476,105",7.3%
224,Copying Beethoven,"$6,191,746","$384,029",6.2%,"$5,807,717",93.8%
225,Van Wilder 2: The Rise of Taj,"$6,086,508","$4,300,645",70.7%,"$1,785,863",29.3%
226,Vitus,"$6,079,556","$187,480",3.1%,"$5,892,076",96.9%
227,Jindabyne,"$6,044,112","$400,438",6.6%,"$5,643,674",93.4%
228,Harsh Times,"$5,967,038","$3,337,931",55.9%,"$2,629,107",44.1%
229,Malamaal Weekly,"$5,946,304","$204,612",3.4%,"$5,741,692",96.6%
230,For Your Consideration,"$5,925,637","$5,549,923",93.7%,"$375,714",6.3%
231,The Good German,"$5,914,908","$1,308,696",22.1%,"$4,606,212",77.9%
232,Catch a Fire,"$5,710,236","$4,299,773",75.3%,"$1,410,463",24.7%
233,Shortbus,"$5,526,675","$1,985,292",35.9%,"$3,541,383",64.1%
234,Severance,"$5,515,163","$137,221",2.5%,"$5,377,942",97.5%
235,Kabul Express,"$5,091,289","$302,458",5.9%,"$4,788,831",94.1%
236,Confetti,"$4,903,131","$228,498",4.7%,"$4,674,633",95.3%
237,Half Nelson,"$4,660,481","$2,697,938",57.9%,"$1,962,543",42.1%
238,Let's Go to Prison,"$4,630,045","$4,630,045",100%,-,-
239,I'm Screwed by Getting Married,"$4,423,137","$223,137",5%,"$4,200,000",95%
240,Keeping Up with the Steins,"$4,409,374","$4,339,241",98.4%,"$70,133",1.6%
241,The Lost City,"$4,386,236","$2,484,186",56.6%,"$1,902,050",43.4%
242,Inland Empire,"$4,037,577","$861,355",21.3%,"$3,176,222",78.7%
243,Tristram Shandy: A Cock and Bull Story,"$3,931,982","$1,253,413",31.9%,"$2,678,569",68.1%
244,Brick,"$3,919,254","$2,075,743",53%,"$1,843,511",47%
245,Chup Chup Ke,"$3,912,699","$334,618",8.6%,"$3,578,081",91.4%
246,Trailer Park Boys: The Movie,"$3,868,567","$3,860,678",99.8%,"$7,889",0.2%
247,The Polar Express 2006 IMAX Release,"$3,765,011","$2,940,722",78.1%,"$824,289",21.9%
248,Riding Alone for Thousands of Miles,"$3,752,325","$252,325",6.7%,"$3,500,000",93.3%
249,BloodRayne,"$3,650,275","$2,405,420",65.9%,"$1,244,855",34.1%
250,Factory Girl,"$3,572,632","$1,675,241",46.9%,"$1,897,391",53.1%
251,Lovewrecked,"$3,505,963",-,-,"$3,505,963",100%
252,Ten Canoes,"$3,360,030","$283,654",8.4%,"$3,076,376",91.6%
253,Boynton Beach Club,"$3,350,115","$3,127,472",93.4%,"$222,643",6.6%
254,Unknown,"$3,338,228","$26,403",0.8%,"$3,311,825",99.2%
255,Art School Confidential,"$3,306,629","$3,297,137",99.7%,"$9,492",0.3%
256,Heading South,"$3,294,052","$898,468",27.3%,"$2,395,584",72.7%
257,The Year My Parents Went on Vacation,"$3,218,370","$807,117",25.1%,"$2,411,253",74.9%
258,Lady Chatterley,"$3,200,383","$687,414",21.5%,"$2,512,969",78.5%
259,Wordplay,"$3,177,636","$3,121,270",98.2%,"$56,366",1.8%
260,Them,"$3,144,202","$50,057",1.6%,"$3,094,145",98.4%
261,The Boss of It All,"$3,111,395","$51,548",1.7%,"$3,059,847",98.3%
262,Nomad: The Warrior,"$3,088,685","$79,123",2.6%,"$3,009,562",97.4%
263,Samoan Wedding,"$2,993,332","$72,244",2.4%,"$2,921,088",97.6%
264,Romance & Cigarettes,"$2,935,242","$557,471",19%,"$2,377,771",81%
265,Wah-Wah,"$2,846,148","$234,750",8.2%,"$2,611,398",91.8%
266,O Jerusalem,"$2,724,303","$234,480",8.6%,"$2,489,823",91.4%
267,Infamous,"$2,689,799","$1,151,330",42.8%,"$1,538,469",57.2%
268,Find Me Guilty,"$2,636,637","$1,173,643",44.5%,"$1,462,994",55.5%
269,Imagine Me & You,"$2,635,305","$672,243",25.5%,"$1,963,062",74.5%
270,After Dark's Horror Fest: 8 Films to Die For,"$2,575,000","$2,575,000",100%,-,-
271,The Man of My Life,"$2,542,577","$7,704",0.3%,"$2,534,873",99.7%
272,Quinceañera,"$2,522,787","$1,692,693",67.1%,"$830,094",32.9%
273,Lonely Hearts,"$2,520,835","$188,565",7.5%,"$2,332,270",92.5%
274,Still Life,"$2,504,465","$76,983",3.1%,"$2,427,482",96.9%
275,Ask the Dust,"$2,460,057","$743,847",30.2%,"$1,716,210",69.8%
276,A Family Secret,"$2,438,422","$2,438,422",100%,-,-
277,Fur: An Imaginary Portrait of Diane Arbus,"$2,312,717","$223,202",9.7%,"$2,089,515",90.3%
278,Strangers with Candy,"$2,254,124","$2,072,645",91.9%,"$181,479",8.1%
279,Fast Food Nation,"$2,209,322","$1,005,539",45.5%,"$1,203,783",54.5%
280,Neil Young: Heart of Gold,"$2,201,933","$1,904,606",86.5%,"$297,327",13.5%
281,Dark Blue Almost Black,"$2,171,323","$6,646",0.3%,"$2,164,677",99.7%
282,Candy,"$2,105,096","$45,128",2.1%,"$2,059,968",97.9%
283,Right at Your Door,"$2,043,704","$65,018",3.2%,"$1,978,686",96.8%
284,The Wedding Weekend,"$2,037,373","$1,232,961",60.5%,"$804,412",39.5%
285,A Guide to Recognizing Your Saints,"$2,035,468","$517,809",25.4%,"$1,517,659",74.6%
286,The Italian,"$2,007,774","$555,436",27.7%,"$1,452,338",72.3%
287,Election 2,"$1,833,853","$55,758",3%,"$1,778,095",97%
288,Renaissance,"$1,831,348","$70,644",3.9%,"$1,760,704",96.1%
289,Dans Paris,"$1,810,452","$63,667",3.5%,"$1,746,785",96.5%
290,The Notorious Bettie Page,"$1,778,006","$1,415,082",79.6%,"$362,924",20.4%
291,Sweet Land,"$1,774,931","$1,706,325",96.1%,"$68,606",3.9%
292,Who Killed the Electric Car?,"$1,764,304","$1,678,874",95.2%,"$85,430",4.8%
293,Starter for 10,"$1,736,394","$216,839",12.5%,"$1,519,555",87.5%
294,The Breed,"$1,689,984","$14,500",0.9%,"$1,675,484",99.1%
295,Sweetheart,"$1,656,433","$650,000",39.2%,"$1,006,433",60.8%
296,Lights in the Dusk,"$1,615,018","$14,056",0.9%,"$1,600,962",99.1%
297,Night of the Living Dead 3D,"$1,553,837","$271,000",17.4%,"$1,282,837",82.6%
298,The Road to Guantanamo,"$1,508,988","$326,876",21.7%,"$1,182,112",78.3%
299,Guadalupe,"$1,498,950","$848,139",56.6%,"$650,811",43.4%
300,Why We Fight,"$1,439,972","$1,439,972",100%,-,-
301,The U.S. vs. John Lennon,"$1,408,065","$1,109,146",78.8%,"$298,919",21.2%
302,10 Items or Less,"$1,399,222","$83,291",6%,"$1,315,931",94%
303,Leonard Cohen: I'm Your Man,"$1,398,424","$1,044,254",74.7%,"$354,170",25.3%
304,Roméo et Juliette,"$1,386,582","$1,386,582",100%,-,-
305,Climates,"$1,385,085","$119,958",8.7%,"$1,265,127",91.3%
306,Snow Cake,"$1,381,665","$26,651",1.9%,"$1,355,014",98.1%
307,Umrao Jaan,"$1,371,723","$485,000",35.4%,"$886,723",64.6%
308,Blame it on Fidel,"$1,360,243","$168,065",12.4%,"$1,192,178",87.6%
309,The Work and the Glory III: A House Divided,"$1,325,092","$1,325,092",100%,-,-
310,Reprise,"$1,297,260","$554,826",42.8%,"$742,434",57.2%
311,Driving Lessons,"$1,277,351","$239,962",18.8%,"$1,037,389",81.2%
312,Exiled,"$1,230,135","$51,957",4.2%,"$1,178,178",95.8%
313,House of Sand,"$1,178,175","$539,285",45.8%,"$638,890",54.2%
314,Man About Town,"$1,165,186",-,-,"$1,165,186",100%
315,Humko Deewana Kar Gaye,"$1,149,417","$250,083",21.8%,"$899,334",78.2%
316,Red Road,"$1,128,345","$154,892",13.7%,"$973,453",86.3%
317,Peaceful Warrior,"$1,066,748","$1,066,748",100%,-,-
318,Family Law,"$1,062,915","$38,605",3.6%,"$1,024,310",96.4%
319,Bamako,"$1,059,232","$112,351",10.6%,"$946,881",89.4%
320,Conversations with God,"$1,021,803","$425,045",41.6%,"$596,758",58.4%
321,Jesus Camp,"$1,013,596","$902,544",89%,"$111,052",11%
322,Conversations with Other Women,"$973,525","$379,418",39%,"$594,107",61%
323,Santa vs. the Snowman 3D 2006 Re-release,"$928,275","$928,275",100%,-,-
324,The Dead Girl,"$905,291","$19,875",2.2%,"$885,416",97.8%
325,The Celestine Prophecy,"$903,680","$617,236",68.3%,"$286,444",31.7%
326,Looking for Comedy in the Muslim World,"$902,312","$888,975",98.5%,"$13,337",1.5%
327,Death of a President,"$869,352","$519,086",59.7%,"$350,266",40.3%
328,Down in the Valley,"$852,872","$568,932",66.7%,"$283,940",33.3%
329,American Masters: Sketches of Frank Gehry,"$844,333","$439,309",52%,"$405,024",48%
330,Grbavica: The Land of My Dreams,"$820,170","$43,460",5.3%,"$776,710",94.7%
331,The Groomsmen,"$818,970","$128,911",15.7%,"$690,059",84.3%
332,Army of Shadows,"$810,532","$741,766",91.5%,"$68,766",8.5%
