Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$441,656,664","$331,279",<0.1%,"$441,325,385",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$307,700,000","$45,100,000",14.7%,"$262,600,000",85.3%
4,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
5,Dolittle,"$245,516,662","$77,047,065",31.4%,"$168,469,597",68.6%
6,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Legend of Deification,"$152,122,610","$143,937",<0.1%,"$151,978,673",99.9%
8,Onward,"$140,245,673","$61,555,145",43.9%,"$78,690,528",56.1%
9,The Invisible Man,"$130,749,733","$64,914,050",49.6%,"$65,835,683",50.4%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Fantasy Island,"$48,505,021","$27,309,289",56.3%,"$21,195,732",43.7%
13,The New Mutants,"$42,306,061","$21,306,061",50.4%,"$21,000,000",49.6%
14,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
15,After We Collided,"$39,700,000",-,-,"$39,700,000",100%
16,Train to Busan Presents: Peninsula,"$36,995,513","$1,169,697",3.2%,"$35,825,816",96.8%
17,Unhinged,"$36,693,385","$18,693,385",50.9%,"$18,000,000",49.1%
18,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
19,Bloodshot,"$33,477,953","$12,561,824",37.5%,"$20,916,129",62.5%
20,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
21,Emma.,"$25,643,186","$10,055,355",39.2%,"$15,587,831",60.8%
22,Greenland,"$23,800,000",-,-,"$23,800,000",100%
23,Trolls World Tour,"$23,705,759",-,-,"$23,705,759",100%
24,Scoob!,"$22,800,000",-,-,"$22,800,000",100%
25,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
26,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
27,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
28,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
29,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$17,850,900",-,-,"$17,850,900",100%
30,Baaghi 3,"$16,726,319","$721,439",4.3%,"$16,004,880",95.7%
31,I Still Believe,"$15,647,958","$9,868,521",63.1%,"$5,779,437",36.9%
32,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
33,The Personal History of David Copperfield,"$13,054,190","$1,859,133",14.2%,"$11,195,057",85.8%
34,The Hunt,"$10,890,815","$5,812,500",53.4%,"$5,078,315",46.6%
35,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
36,My Spy,"$10,200,000",-,-,"$10,200,000",100%
37,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
38,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
39,Malang,"$8,397,569",-,-,"$8,397,569",100%
40,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
41,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
42,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
43,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
44,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
45,Bill & Ted Face the Music,"$5,698,881","$3,353,535",58.8%,"$2,345,346",41.2%
46,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
47,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
48,Antebellum,"$4,831,009",-,-,"$4,831,009",100%
49,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
50,The SpongeBob Movie: Sponge on the Run,"$4,599,790","$4,599,790",100%,-,-
51,The Broken Hearts Gallery,"$4,483,894","$3,857,336",86%,"$626,558",14%
52,Clueless 25th Anniversary,"$4,263,607",-,-,"$4,263,607",100%
53,Military Wives,"$4,127,775",-,-,"$4,127,775",100%
